date,uptime_pct,tickets_opened,tickets_resolved,avg_resolution_hrs,it_cost_usd
2025-05-08,99.04967141530112,17,16,26.57147266924885,5019.096772611578
2025-05-09,98.98617356988288,22,14,23.42670279594029,5040.598854971131
2025-05-10,99.06476885381007,27,19,23.860690355531553,5092.113027672724
2025-05-11,99.1523029856408,17,17,28.079568422939758,5104.052485624049
2025-05-12,98.97658466252767,25,17,21.761239301918337,5091.100378333013
2025-05-13,98.97658630430509,15,16,22.063547456576774,5081.282885878765
2025-05-14,99.15792128155074,29,23,17.51023583008362,5077.7028229080615
2025-05-15,99.0767434729153,21,19,24.923334704859002,5075.841711082569
2025-05-16,98.95305256140651,14,17,23.34254901700818,5112.223188264418
2025-05-17,99.05425600435859,26,13,23.251848948867735,5114.820482554784
2025-05-18,98.95365823071876,23,28,19.267640160709576,5151.452486415563
2025-05-19,98.95342702464298,18,11,24.285886597160857,5147.416657410134
2025-05-20,99.02419622715661,20,20,23.16293542268898,5151.348416925938
2025-05-21,98.80867197553422,24,15,22.17631047085038,5051.438382699333
2025-05-22,98.8275082167487,23,14,23.440172630530924,5097.2547664344565
2025-05-23,98.9437712470759,26,21,25.339300843651586,5114.579190229356
2025-05-24,98.89871688796656,18,17,23.417730021305076,5164.479695722339
2025-05-25,99.03142473325953,21,18,20.779104750420686,5019.666926812654
2025-05-26,98.90919759244788,19,18,27.07954589823318,5124.085662051691
2025-05-27,98.85876962986647,17,18,23.601090977559373,5117.106180643932
2025-05-28,99.14656487689216,7,22,26.10036244481752,5172.515321480808
2025-05-29,98.97742236995134,25,17,20.414860113225473,5120.5200251245315
2025-05-30,99.00675282046879,14,26,28.569560714351326,5151.15872037766
2025-05-31,98.85752518137865,24,21,25.676765541814767,5098.487942218977
2025-06-01,98.94556172754749,22,21,22.868364374806436,5067.299494184187
2025-06-02,99.01109225897099,20,25,19.30342791229698,5163.001061877526
2025-06-03,98.88490064225778,20,14,24.197250783218962,5153.466941839359
2025-06-04,99.03756980183456,24,15,25.665598580079596,5164.338585498345
2025-06-05,98.93993613100812,19,17,18.35652879167823,5207.841972032783
2025-06-06,98.97083062502067,25,13,28.34404170124873,5232.626066431413
2025-06-07,98.93982933877706,19,13,30.596417869860247,5240.147011688592
2025-06-08,99.1852278184509,15,23,22.67995664984,5258.395061811903
2025-06-09,98.99865027752621,21,15,25.506162673057833,5378.565841073817
2025-06-10,98.8942289071044,22,22,27.06369845139214,5375.684901222137
2025-06-11,99.08225449121032,30,22,21.87493065810194,5385.739853557886
2025-06-12,98.87791563500289,21,15,23.268597858686405,5438.2725733582665
2025-06-13,99.02088635950048,19,20,25.692235892210185,5493.548870006166
2025-06-14,98.80403298761202,18,18,27.840913196012682,5552.900385284185
2025-06-15,98.86718139511015,10,14,21.382628015159565,5584.836896385644
2025-06-16,99.01968612358691,25,19,22.049396466124016,5527.6866507491195
2025-06-17,99.07384665799954,20,27,24.29752759133815,5609.358227364175
2025-06-18,99.01713682811899,20,22,18.460089011857,5552.0409577132405
2025-06-19,98.98843517176118,15,20,27.21025429897846,5567.172730975192
2025-06-20,98.96988963044107,19,18,28.576575512774216,5529.458938474224
2025-06-21,98.85214780096325,22,18,26.075724209643734,5526.252021144574
2025-06-22,98.92801557916053,18,25,24.136758049066493,5542.690141659748
2025-06-23,98.95393612290403,20,20,23.269981652031923,5558.758002432262
2025-06-24,99.10571222262189,22,10,24.72370817356899,5579.854040144026
2025-06-25,99.03436182895685,12,23,22.94383381045711,5660.539603596959
2025-06-26,98.82369598446373,29,17,27.75461827257133,5683.2163186726575
2025-06-27,99.03240839693947,18,19,19.668706187780224,5671.008486908126
2025-06-28,98.96149177195836,19,17,24.246453535177707,5719.212845322543
2025-06-29,98.93230779996941,29,22,20.648112505235616,5778.686369768775
2025-06-30,99.06116762888409,15,15,22.97182396086689,5717.305979011925
2025-07-01,99.1030999522496,13,13,22.62974034253865,5747.175982504418
2025-07-02,99.09312801191162,13,19,22.29069815930339,5782.234619619963
2025-07-03,98.91607824767773,12,26,22.656874319948056,5767.356444451963
2025-07-04,98.96907876241488,25,20,22.07183172039737,5836.141785117545
2025-07-05,99.03312634314035,25,14,20.012542409602705,5828.639005765918
2025-07-06,99.09755451271224,14,19,23.410436490895588,5834.917828439495
2025-07-07,98.95208257621547,23,11,21.872988727234464,5826.264237225301
2025-07-08,98.98143410233362,17,15,24.26920708286168,5827.043189604376
2025-07-09,98.8893665025994,23,15,19.67964835365158,5772.229435259615
2025-07-10,98.88037933759193,18,20,26.02917690617781,5700.226891129901
2025-07-11,99.08125258223942,18,23,18.597178701267552,5779.952144291149
2025-07-12,99.13562400285709,26,19,24.12047385193303,5737.604076875233
2025-07-13,98.99279898784197,23,18,28.292325306354144,5688.034459402417
2025-07-14,99.1003532897892,20,14,23.61568675526763,5580.364953722232
2025-07-15,99.03616360250476,18,17,26.04315497242464,5548.416866337757
2025-07-16,98.93548802453948,27,21,21.478069353033828,5482.262376667381
2025-07-17,99.03613956055084,30,22,25.95787193790717,5564.3631346741995
2025-07-18,99.1538036566466,22,15,25.33855029964434,5614.853989141331
2025-07-19,98.996417396089,17,23,29.668622192836594,5580.446471882446
2025-07-20,99.1564643655814,22,21,25.35691895774723,5693.068262149661
2025-07-21,98.73802548959102,24,12,31.27163797988687,5742.15653649924
2025-07-22,99.08219025043752,13,24,28.75170847045717,5725.91496732381
2025-07-23,99.00870470682382,11,21,21.718756031567107,5600.944681580131
2025-07-24,98.97009926495342,19,16,21.642599524047505,5715.491810209668
2025-07-25,99.00917607765355,18,15,22.723627314645107,5646.013186871488
2025-07-26,98.80124310853991,22,14,26.90092842938764,5563.7432495236435
2025-07-27,98.97803281121625,12,18,24.14313406842594,5614.871771124125
2025-07-28,99.03571125715118,23,24,24.010807617271706,5736.859391441089
2025-07-29,99.14778940447415,18,16,27.47509406757763,5806.073032366615
2025-07-30,98.94817297817264,18,20,19.489805094698546,5834.268488369233
2025-07-31,98.91915063971068,24,21,21.367913128272985,5864.006205452497
2025-08-01,98.94982429564155,19,20,24.662892521488992,5906.676983391513
2025-08-02,99.09154021177021,13,23,23.919342483016408,5944.623412880851
2025-08-03,99.03287511096597,11,25,23.374851576157344,5958.68298407932
2025-08-04,98.9470239796233,14,25,30.12520460527287,5963.893039276913
2025-08-05,99.05132674331134,23,18,24.74153214756179,5960.763382881937
2025-08-06,99.00970775493481,32,16,26.045952743993396,5923.065153438603
2025-08-07,99.09686449905328,17,21,27.004860029684746,5909.031399595265
2025-08-08,98.92979469061227,12,14,24.843300878657864,5824.383558885495
2025-08-09,98.96723378534023,22,13,18.606940419451433,5819.466577545758
2025-08-10,98.96078918468679,19,16,22.07747141619897,5770.037022188212
2025-08-11,98.85364850518678,21,21,25.71353696934839,5714.8575563274235
2025-08-12,99.02961202770646,9,15,22.282251655931525,5723.852263885097
2025-08-13,99.026105527218,19,25,19.801933690241995,5793.452378202328
2025-08-14,99.00051134566425,17,20,21.226098951261694,5839.368208502443
2025-08-15,98.97654128666248,19,18,23.82110889023948,5760.8431783212845
2025-08-16,98.85846292579495,21,19,25.940810333116723,5711.361771492768
2025-08-17,98.95793546772346,23,14,21.90533005915923,5758.400330892178
2025-08-18,98.96572854834733,17,12,22.819543843734753,5709.275961215263
2025-08-19,98.91977227307784,22,15,21.314420339916804,5698.044303715412
2025-08-20,98.9838714288334,27,16,22.094484594954093,5725.546908666639
2025-08-21,99.04040508568146,30,22,20.851341854041994,5677.129685923457
2025-08-22,99.18861859012105,21,20,25.605705634681705,5682.398461230756
2025-08-23,99.01745778128318,28,22,20.047817803097022,5615.697186484846
2025-08-24,99.02575503907228,9,20,23.4072011859228,5585.628804287285
2025-08-25,98.99255540842339,18,19,17.774217382124203,5601.617900994412
2025-08-26,98.8081228784701,21,17,26.067563454268704,5521.968214317828
2025-08-27,98.99734861245508,25,12,18.792108590504252,5543.991951215848
2025-08-28,99.0060230209941,19,22,23.406267649612058,5543.010061269513
2025-08-29,99.24632421124853,25,21,25.954254010843346,5570.634558990371
2025-08-30,98.98076390352189,19,15,25.451657502162966,5581.830265693604
2025-08-31,99.03015473423336,30,23,24.96104192458296,5650.037287192296
2025-09-01,98.99652882302948,16,16,22.727502160794252,5656.298512324692
2025-09-02,98.88313219623805,22,17,22.4314935358935,5634.828235268429
2025-09-03,99.11428228145151,14,26,25.721100011815736,5640.943110420043
2025-09-04,99.07519330326868,20,29,24.07306377678295,5668.108011871863
2025-09-05,99.0791031947043,20,14,17.57318892416441,5670.551015388148
2025-09-06,98.90906125452052,21,23,18.817370489697865,5672.580599948342
2025-09-07,99.1402794310936,26,15,22.691028990977905,5637.481015558004
2025-09-08,98.85981489372077,14,28,23.8859895654954,5604.335969680457
2025-09-09,99.05868570938003,24,14,23.639906019845217,5534.205706090473
2025-09-10,99.219045562581,23,26,22.15944608180875,5621.684543249819
2025-09-11,98.90094636748694,14,22,27.068377695595217,5559.491381480255
2025-09-12,98.94337022703972,18,28,24.772129612270035,5524.84612159046
2025-09-13,99.00996513650877,18,16,29.00575222163277,5488.925758312
2025-09-14,98.94965243458839,27,15,22.802330632184162,5533.671977159222
2025-09-15,98.84493365689339,20,17,22.05841218089178,5518.924493244621
2025-09-16,99.0068562974806,19,11,25.449559386898123,5581.311596878308
2025-09-17,98.8937696286274,20,19,19.278039710129903,5547.637065666114
2025-09-18,99.04735924306353,20,16,27.677296989007026,5561.586773777304
2025-09-19,98.90805757657662,22,25,28.39312464062946,5519.819421114316
2025-09-20,99.15499344050176,12,15,23.326644544320082,5627.076877502986
2025-09-21,98.92167467076638,14,25,20.858705092163536,5567.69695655151
2025-09-22,98.96779384837943,14,25,18.948216925626394,5583.187992062862
2025-09-23,99.08135172173697,15,23,25.37665278860682,5614.876836109466
2025-09-24,98.8769135683566,27,19,20.763957499706112,5635.566790982041
2025-09-25,99.02274599346042,22,23,24.115525408502123,5626.302408038156
2025-09-26,99.13071427542825,15,18,24.51788189982246,5619.811373051484
2025-09-27,98.83925167654388,15,15,21.349020187539985,5622.00194665044
2025-09-28,99.01846338585322,15,17,22.04303136475974,5614.651846569015
2025-09-29,99.02598827942484,14,16,28.729176470952748,5662.845802408761
2025-09-30,99.07818228717773,16,8,19.570378950822313,5773.371952488329
2025-10-01,98.87630492891219,20,17,19.859725937557645,5745.497363237937
2025-10-02,98.86795433869158,22,23,25.87668810452859,5677.007214258983
2025-10-03,99.05219415656168,11,18,22.812589399687774,5672.59311184142
2025-10-04,99.02969846732331,24,28,22.517909441151783,5801.578578724137
2025-10-05,99.02504928503458,15,20,23.217978702528278,5761.39485032565
2025-10-06,99.0346448209497,18,28,25.65091546153626,5843.350690597853
2025-10-07,98.93199752784216,22,20,26.014870103814154,5927.2357313016755
2025-10-08,99.0232253697161,19,15,24.076662212974338,5899.556319216275
2025-10-09,99.02930724732987,20,15,20.481812942221907,5928.005473175539
2025-10-10,98.92856485819736,13,23,22.369199536216705,6009.425304331966
2025-10-11,99.18657745111447,20,18,25.111842996258318,5990.468917282592
2025-10-12,99.04738329209118,17,22,21.684903868054967,5980.2898992774735
2025-10-13,98.88086965027973,16,24,32.545627861890225,5951.205853580042
2025-10-14,99.06565536086339,14,15,20.55370289888369,5900.4680170453985
2025-10-15,98.90253183297727,21,20,29.2191413363343,5868.004139792098
2025-10-16,99.07870846037424,24,16,25.087322824209398,5806.807126453985
2025-10-17,99.11585955790073,13,21,27.359009683878433,5808.5112998669465
2025-10-18,98.91793176816483,21,12,27.884044427162717,5770.012638314014
2025-10-19,99.09633761292443,19,17,20.517519637864442,5781.701933903551
2025-10-20,99.04127809269364,17,22,25.403103603935673,5703.90715159337
2025-10-21,99.08220601599945,22,11,22.960488354807854,5720.451163204093
2025-10-22,99.18967929826539,21,21,24.14076173663755,5762.127611284539
2025-10-23,98.97546118839972,13,24,22.568877518330634,5662.440829155967
2025-10-24,98.92462638356425,16,19,23.769534326819233,5681.143657648345
2025-10-25,98.91104855703745,15,24,27.84897667256571,5742.52710727201
2025-10-26,98.91841897150346,12,21,21.01119954165858,5682.04505633745
2025-10-27,98.99228982905859,13,16,25.48126974948394,5765.673675679334
2025-10-28,99.03411519748167,25,23,28.669745695979252,5786.624626147637
2025-10-29,99.027669079933,15,22,25.284345482897738,5751.374033359716
2025-10-30,99.0827183249036,28,20,19.497720628097067,5748.585579476831
2025-10-31,99.00130018918779,21,25,21.449334773659523,5776.501925102917
2025-11-01,99.14535340771573,24,24,25.045956403223578,5780.302194673538
2025-11-02,98.97353431667621,18,17,25.047773112955287,5807.239994295856
2025-11-03,99.27201691665896,20,14,24.964905153652147,5761.206314641888
2025-11-04,99.0625667347765,14,24,17.76975604931748,5769.674355843692
